"dataEmissao","tipoDespesa","valorLiq"
"26/11","ASSINATURA DE PUBLICAÇÕES",1192.8
"29/11","ASSINATURA DE PUBLICAÇÕES",65.9
"01/12","ASSINATURA DE PUBLICAÇÕES",175.89
"02/12","ASSINATURA DE PUBLICAÇÕES",1960.8
"04/12","ASSINATURA DE PUBLICAÇÕES",510
"05/12","ASSINATURA DE PUBLICAÇÕES",230.75
"07/12","ASSINATURA DE PUBLICAÇÕES",460
"09/12","ASSINATURA DE PUBLICAÇÕES",593.75
"10/12","ASSINATURA DE PUBLICAÇÕES",32.9
"11/12","ASSINATURA DE PUBLICAÇÕES",147.84
"14/12","ASSINATURA DE PUBLICAÇÕES",1329.9
"15/12","ASSINATURA DE PUBLICAÇÕES",927.97
"17/12","ASSINATURA DE PUBLICAÇÕES",1074.2
"18/12","ASSINATURA DE PUBLICAÇÕES",144.86
"21/12","ASSINATURA DE PUBLICAÇÕES",230.4
"22/12","ASSINATURA DE PUBLICAÇÕES",150
"23/12","ASSINATURA DE PUBLICAÇÕES",655.4
"24/12","ASSINATURA DE PUBLICAÇÕES",20
"25/12","ASSINATURA DE PUBLICAÇÕES",135.9
"26/12","ASSINATURA DE PUBLICAÇÕES",554.9
"28/12","ASSINATURA DE PUBLICAÇÕES",50
"30/12","ASSINATURA DE PUBLICAÇÕES",694.8
"04/01","ASSINATURA DE PUBLICAÇÕES",104.25
"05/01","ASSINATURA DE PUBLICAÇÕES",1401.13
"06/01","ASSINATURA DE PUBLICAÇÕES",1645
"07/01","ASSINATURA DE PUBLICAÇÕES",80
"08/01","ASSINATURA DE PUBLICAÇÕES",867
"10/01","ASSINATURA DE PUBLICAÇÕES",32.9
"11/01","ASSINATURA DE PUBLICAÇÕES",424.9
"14/01","ASSINATURA DE PUBLICAÇÕES",537.15
"15/01","ASSINATURA DE PUBLICAÇÕES",29.9
"20/01","ASSINATURA DE PUBLICAÇÕES",120
"21/01","ASSINATURA DE PUBLICAÇÕES",249.41
"22/01","ASSINATURA DE PUBLICAÇÕES",1916.96
"25/01","ASSINATURA DE PUBLICAÇÕES",139.9
"26/01","ASSINATURA DE PUBLICAÇÕES",400
"27/01","ASSINATURA DE PUBLICAÇÕES",468
"28/01","ASSINATURA DE PUBLICAÇÕES",37.96
"01/02","ASSINATURA DE PUBLICAÇÕES",2204.25
"02/02","ASSINATURA DE PUBLICAÇÕES",491.9
"04/02","ASSINATURA DE PUBLICAÇÕES",408.59
"05/02","ASSINATURA DE PUBLICAÇÕES",110.54
"10/02","ASSINATURA DE PUBLICAÇÕES",634.9
"11/02","ASSINATURA DE PUBLICAÇÕES",1649.2
"12/02","ASSINATURA DE PUBLICAÇÕES",50
"15/02","ASSINATURA DE PUBLICAÇÕES",100
"16/02","ASSINATURA DE PUBLICAÇÕES",1070.9
"17/02","ASSINATURA DE PUBLICAÇÕES",2020.5
"18/02","ASSINATURA DE PUBLICAÇÕES",960.73
"19/02","ASSINATURA DE PUBLICAÇÕES",1614.4
